ID,Название,Авторы,Год публикации,В_РИНЦ
80641468,"РАЗВИТИЕ ВОЕННОЙ НАУКИ И ОБРАЗОВАНИЯ В ИНЖЕНЕРНОМ ВУЗЕ: ИННОВАЦИИ, ВЫЗОВЫ И ПЕРСПЕКТИВЫ","Горохов А.В., Баринов Д.М., Ренсков Д.А.",2025,Да
80625253,"АНАЛИЗ СХОДНЫХ ЧЕРТ И РАЗЛИЧИЙ В ФИЗИЧЕСКОЙ СУЩНОСТИ, ПРИНЦИПАХ И ФУНКЦИОНАЛЬНОМ НАПОЛНЕНИИ ПРОЦЕССОВ БЫСТРОГО ПРОТОТИПИРОВАНИЯ И СОЗДАНИЯ ЦИФРОВЫХ ДВОЙНИКОВ АЛГОРИТМОВ И ПРОГРАММНЫХ СРЕДСТВ ДЛЯ РЕАЛИЗАЦИИ ПОИСКОВЫХ ЗАПРОСОВ","Паращук И.Б., Саяркин Л.А., Владимирова Е.С., Селезнев А.В.",2025,Да
82427784,"ОБ ОПЫТЕ ПРОВЕДЕНИЯ НОВОГОДНЕГО УРОКА В РАЗГОВОРНОМ КЛУБЕ СО СТУДЕНТАМИ, ИЗУЧАЮЩИМИ РУССКИЙ ЯЗЫК КАК ИНОСТРАННЫЙ","Старостина К.С., Ануфриева В.Л.",2025,Да
80641469,ПРОБЛЕМЫ И ПУТИ РЕШЕНИЯ ВОЕННО-ПРОФЕССИОНАЛЬНОЙ ОРИЕНТАЦИИ В ИНЖЕНЕРНОМ ВУЗЕ: СОВРЕМЕННЫЕ ВЫЗОВЫ И ПОДХОДЫ,"Горохов А.В., Баринов Д.М., Ренсков Д.А.",2025,Да
80641470,"СОВРЕМЕННЫЕ ПОДХОДЫ К ВОЕННО-ПРОФЕССИОНАЛЬНОЙ ОРИЕНТАЦИИ КУРСАНТОВ ИНЖЕНЕРНЫХ ВУЗОВ: ПРОБЛЕМЫ, ВЫЗОВЫ И РЕШЕНИЯ","Горохов А.В., Баринов Д.М., Ренсков Д.А.",2025,Да
80641471,СОВРЕМЕННЫЕ ПОДХОДЫ И МЕТОДЫ ВОЕННО-ПРОФЕССИОНАЛЬНОГО ОРИЕНТИРОВАНИЯ ПРИ НАБОРЕ СТУДЕНТОВ: ПРОБЛЕМЫ И РЕШЕНИЯ,"Горохов А.В., Баринов Д.М.",2025,Да
80641472,ИННОВАЦИИ В ОБРАЗОВАНИИ: СОВРЕМЕННЫЕ МЕТОДЫ И ИНФОРМАТИЗАЦИЯ В ВОЕННОМ ВУЗЕ,"Горохов А.В., Баринов Д.М.",2025,Да
80560250,ИСПОЛЬЗОВАНИЕ ФИЗИЧЕСКИХ УПРАЖНЕНИЙ КАК СРЕДСТВО АКТИВНОГО ОТДЫХА В АВИАЦИОННОЙ ПРАКТИКЕ СНГ,"Михаил И.И., Федюк Н.С., Сорокин В.П., Марьин А.А.",2025,Да
82146652,СПЕЦИФИКА ИСПОЛЬЗОВАНИЯ ИНФОРМАЦИОННО-КОММУНИКАЦИОННЫХ РЕСУРСОВ ПРИ ОБУЧЕНИИ КУРСАНТОВ В ВОЕННОЙ АКАДЕМИИ,"Максимова М.В., Клишкова Н.В.",2025,Да
80538275,ФОРМИРОВАНИЕ ОРГАНИЗАЦИОННОЙ СТРУКТУРЫ ВОЕННОЙ УЧЕБНОЙ ОРГАНИЗАЦИИ НА ОСНОВЕ ИСПОЛЬЗОВАНИЯ МОДЕЛИ ВЗАИМОСВЯЗИ ПОКАЗАТЕЛЕЙ ОБЪЕКТА УПРАВЛЕНИЯ,"Басыня В.А., Вахненко И.В., Лукьянчик В.Н., Сорокин К.Н.",2025,Да
80641473,РОЛЬ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ ВУЗА,"Лукашенок В.И., Яровой Р.В., Горохов А.В.",2025,Да
82141699,СЛОЖНОСТИ РАЗРАБОТКИ ВЕБ-ФРЕЙМВОРКА НА ЯЗЫКЕ ПРОГРАММИРОВАНИЯ PYTHON,Кузьмин А.,2025,Да
80538277,ПРИМЕНЕНИЕ РАЗВИВАЮЩИХ МЕТОДИК ОБУЧЕНИЯ ПРИ ПОДГОТОВКЕ СПЕЦИАЛИСТОВ СВЯЗИ,"Вахненко И.В., Басыня В.А., Данилюк А.И., Лукьянчик В.Н.",2025,Да
80641514,РОЛЬ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ПЕРСОНАЛИЗАЦИИ ОБРАЗОВАНИЯ,"Яровой Р.В., Изотов Д.Ю., Горохов А.В.",2025,Да
80641474,ЭТИЧЕСКИЙ ХАКИНГ ЛЕГАЛЬНАЯ СТОРОНА ПРОНИКНОВЕНИЯ В СИСТЕМЫ ИНЖЕНЕРНОГО ВУЗА,"Яровой Р.В., Рябов Г.А., Горохов А.В.",2025,Да
82146670,ПРОЕКТ ТЕСТИРОВАНИЯ ОСТАТОЧНЫХ ЗНАНИЙ КУРСАНТОВ ПО ДИСЦИПЛИНЕ «ВЫЧИСЛИТЕЛЬНАЯ МАТЕМАТИКА»,Салищева О.Г.,2025,Да
80641475,ИСПОЛЬЗОВАНИЕ ВИРТУАЛЬНОЙ И ДОПОЛНЕННОЙ РЕАЛЬНОСТИ В ОБУЧЕНИИ ВОЕННЫХ ИНЖЕНЕРОВ,"Баринов Д.М., Данилюк А.И.",2025,Да
80641476,ИНФОРМАТИЗАЦИЯ КАК ИНСТРУМЕНТ ПОВЫШЕНИЯ КАЧЕСТВА ИНЖЕНЕРНОГО ОБРАЗОВАНИЯ В ВОЕННЫХ ВУЗАХ,"Баринов Д.М., Данилюк А.И.",2025,Да
80641450,"ТЕХНОПАРК - ИНТЕГРАЦИЯ НАУКИ, ТЕОРИИ И ПРАКТИКИ В ВОЕННОЙ АКАДЕМИИ СВЯЗИ","Васильева Т.Г., Горохов А.В., Филимоненков М.Х., Поляков Д.Н.",2025,Да
80641477,ДИСТАНЦИОННОЕ ОБУЧЕНИЕ В ВОЕННОМ ИНЖЕНЕРНОМ ОБРАЗОВАНИИ: ВОЗМОЖНОСТИ И ОГРАНИЧЕНИЯ,"Баринов Д.М., Данилюк А.И.",2025,Да
80641478,ЭФФЕКТИВНОЕ ИСПОЛЬЗОВАНИЕ ГЕЙМИФИКАЦИИ В ОБУЧЕНИИ ВОЕННЫМ ИНЖЕНЕРНЫМ ДИСЦИПЛИНАМ,"Басыня В.А., Данилюк А.И.",2025,Да
80641404,ПРИКЛАДНЫЕ ПРОФЕССИОНАЛЬНО ОРИЕНТИРОВАННЫЕ ЗАДАЧИ ДЛЯ ПОДГОТОВКИ В ВЫСШЕЙ ВОЕННОЙ ШКОЛЕ. ГЕОМЕТРИЧЕСКАЯ ВЕРОЯТНОСТЬ,Курдубова В.В.,2025,Да
80365926,"614 ОТДЕЛЬНАЯ ШТРАФНАЯ РОТА СЕВЕРНОГО ФЛОТА. СТРАНИЦЫ ИСТОРИИ (ПО МАТЕРИАЛАМ ФИЛИАЛА ЦАМО РФ (АРХИВ ВМФ, Г. ГАТЧИНА)",Котков В.М.,2025,Да
80641479,"АВТОМАТИЗАЦИЯ, СОВРЕМЕННЫЕ МЕТОДЫ И ПРОГРАММЫ ДЛЯ ОБЪЕКТИВНОЙ ОЦЕНКИ УРОВНЯ ПОДГОТОВКИ ВОЕННЫХ ИНЖЕНЕРОВ","Басыня В.А., Данилюк А.И.",2025,Да
80641405,ПРОФЕССИОНАЛЬНО ОРИЕНТИРОВАННЫЕ ЗАДАЧИ ДЛЯ ПОДГОТОВКИ В ВЫСШЕЙ ВОЕННОЙ ШКОЛЕ. ОСНОВЫ КОМБИНАТОРИКИ,Курдубова В.В.,2025,Да
80641480,КИБЕРБЕЗОПАСНОСТЬ В КОНТЕКСТЕ ИНФОРМАТИЗАЦИИ ВОЕННОГО ИНЖЕНЕРНОГО ОБРАЗОВАНИЯ,"Гладких Д.С., Данилюк А.И.",2025,Да
80641482,РАЗВИТИЕ ИННОВАЦИОННОЙ ИНФРАСТРУКТУРЫ В ИНЖЕНЕРНЫХ ВУЗАХ,"Гладких Д.С., Данилюк А.И.",2025,Да
80560261,РОЛЬ СТУДЕНЧЕСКИХ СПОРТИВНЫХ ЛИГ В РАЗВИТИИ МАССОВОГО СПОРТА В СТРАНАХ СНГ,"Прокопьева К.А., Радин Д.В., Сердюковский В.В., Бородин Д.В.",2025,Да
80641484,СОЗДАНИЕ НАУЧНО-ОБРАЗОВАТЕЛЬНЫХ ЦЕНТРОВ КАК ОСНОВА ДЛЯ ИНТЕГРАЦИИ НАУКИ И ОБРАЗОВАНИЯ,"Гладких Д.С., Данилюк А.И.",2025,Да
80641485,ЦИФРОВЫЕ ТЕХНОЛОГИИ И ИХ ВЛИЯНИЕ НА КАЧЕСТВО ИНЖЕНЕРНОЙ ПОДГОТОВКИ,"Гладких Д.С., Данилюк А.И.",2025,Да
80641486,ИНТЕГРАЦИЯ BIG DATA И АНАЛИТИКИ В ОБРАЗОВАТЕЛЬНЫЙ ПРОЦЕСС ВОЕННЫХ ИНЖЕНЕРНЫХ ВУЗОВ,"Вахненко И.В., Басыня В.А.",2025,Да
80641487,ИНФОРМАТИЗАЦИЯ КАК ИНСТРУМЕНТ ПОВЫШЕНИЯ ЭФФЕКТИВНОСТИ ВОЕННО-ИНЖЕНЕРНОГО ОБРАЗОВАНИЯ,"Вахненко И.В., Басыня В.А.",2025,Да
80641488,ИСПОЛЬЗОВАНИЕ СИМУЛЯТОРОВ И ТРЕНАЖЕРОВ В ПОДГОТОВКЕ ВОЕННЫХ ИНЖЕНЕРОВ,"Вахненко И.В., Басыня В.А.",2025,Да
80538293,РЕАЛИЗАЦИЯ ПРАКТИЧЕСКОЙ НАПРАВЛЕННОСТИ НА ЗАНЯТИЯХ ПО ТЕМЕ «ЭЛЕМЕНТЫ АНАЛИТИЧЕСКОЙ ГЕОМЕТРИИ» ДИСЦИПЛИНЫ «ВЫСШАЯ МАТЕМАТИКА» В ВОЕННОМ ВУЗЕ,"Кошкина Н.В., Неведин И.С.",2025,Да
80560333,ОСОБЕННОСТИ РАЗВИТИЯ ОБЩЕЙ ВЫНОСЛИВОСТИ У СТУДЕНТОВ СТРАН СНГ В УСЛОВИЯХ ОБРАЗОВАТЕЛЬНОГО ПРОЦЕССА,"Труль А.Р., Бородин Д.В., Кривилёв С.А., Сердюковский В.В.",2025,Да
80641491,ФОРМИРОВАНИЕ ЦИФРОВЫХ КОМПЕТЕНЦИЙ У БУДУЩИХ ВОЕННЫХ ИНЖЕНЕРОВ,"Вахненко И.В., Басыня В.А.",2025,Да
80480926,ПРИМЕНЕНИЕ ПРИБЛИЖЕННЫХ ФОРМУЛ СХЕМЫ БЕРНУЛЛИ ПРИ РЕШЕНИИ ПРОФЕССИОНАЛЬНО ОРИЕНТИРОВАННЫХ ЗАДАЧ В ВЫСШЕЙ ВОЕННОЙ ШКОЛЕ,Курдубова В.В.,2025,Да
80641492,РОЛЬ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ В МОДЕРНИЗАЦИИ ИНЖЕНЕРНОГО ВОЕННОГО ОБРАЗОВАНИЯ,"Вахненко И.В., Басыня В.А.",2025,Да
80480927,ПРОФЕССИОНАЛЬНО ОРИЕНТИРОВАННЫЕ ЗАДАЧИ ПО ТЕОРИИ ВЕРОЯТНОСТЕЙ ДЛЯ ПОДГОТОВКИ В ВЫСШЕЙ ВОЕННОЙ ШКОЛЕ. СХЕМА БЕРНУЛЛИ,"Курдубова В.В., Шахвердова Е.О.",2025,Да
80641493,ПРИМЕНЕНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА И МАШИННОГО ОБУЧЕНИЯ В ОБУЧЕНИИ ВОЕННЫХ ИНЖЕНЕРОВ,"Мельник В.Н., Басыня В.А.",2025,Да
80641415,ВЫЧИСЛЕНИЕ ВЕРОЯТНОСТИ СОБЫТИЯ ПО КЛАССИЧЕСКОЙ СХЕМЕ. ПРИКЛАДНЫЕ ЗАДАЧИ ДЛЯ ВЫСШЕЙ ВОЕННОЙ ШКОЛЫ,Шахвердова Е.О.,2025,Да
80641494,РОБОТОТЕХНИКА И АВТОМАТИЗАЦИЯ В КОНТЕКСТЕ ВОЕННО-ИНЖЕНЕРНОГО ОБРАЗОВАНИЯ,"Мельник В.Н., Басыня В.А.",2025,Да
80560267,РЕЗУЛЬТАТЫ ИНТЕГРИРОВАНИЯ «ВФСК ГТО» В ОБРАЗОВАТЕЛЬНЫЙ ПРОЦЕСС СТУДЕНТОВ КАФЕДРЫ СВЯЗИ ВОЕННОГО УЧЕБНОГО ЦЕНТРА ПРИ САНКТ-ПЕТЕРБУРГСКОМ ПОЛИТЕХНИЧЕСКОМ УНИВЕРСИТЕТЕ ПЕТРА ВЕЛИКОГО,"Юров А.С., Юсупов А.Х., Андросов А.М., Блаженнов В.М.",2025,Да
80641495,ИСПОЛЬЗОВАНИЕ 3D-ПЕЧАТИ И АДДИТИВНЫХ ТЕХНОЛОГИЙ В ВОЕННО-ИНЖЕНЕРНОМ ОБРАЗОВАНИИ,"Мельник В.Н., Вахненко И.В.",2025,Да
80641416,ИСПОЛЬЗОВАНИЕ ФОРМУЛ ПОЛНОЙ ВЕРОЯТНОСТИ И БАЙЕСА ПРИ РЕШЕНИИ ПРИКЛАДНЫХ ВОЕННО-ПРОФЕССИОНАЛЬНЫХ ЗАДАЧ,Шахвердова Е.О.,2025,Да
80538299,ПРОФЕССИОНАЛИЗМ В ОБРАЗОВАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ ПРИ ПОДГОТОВКЕ КВАЛИФИЦИРОВАННЫХ СПЕЦИАЛИСТОВ СВЯЗИ,"Лукьянчик В.Н., Басыня В.А., Вахненко И.В., Данилюк А.И.",2025,Да
80641496,ИНФОРМАТИЗАЦИЯ КАК СПОСОБ АДАПТАЦИИ ВОЕННОГО ОБРАЗОВАНИЯ К СОВРЕМЕННЫМ ВЫЗОВАМ,"Мельник В.Н., Чеботарь И.Т.",2025,Да
80641451,ЭФФЕКТИВНОСТЬ ПРИМЕНЕНИЯ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ В УЧЕБНОМ ПРОЦЕССЕ СПЕЦИАЛИСТОВ СВЯЗИ,"Волостных В.А., Воробьев П.В.",2025,Да
82278465,"ТЕМАТИЧЕСКИЕ БЕСЕДЫ НА УРОКАХ РКИ КАК ИНСТРУМЕНТ ФОРМИРОВАНИЯ СОЦИОКУЛЬТУРНОЙ КОМПЕТЕНЦИИ У ИНОСТРАННЫХ ОБУЧАЮЩИХСЯ (НА ПРИМЕРЕ ПРАЗДНИКА «ДЕНЬ СЕМЬИ, ЛЮБВИ И ВЕРНОСТИ»)","Быстрова И.В., Лабец А.В.",2025,Да
80480932,"ПРИКЛАДНЫЕ ЗАДАЧИ ПРОФЕССИОНАЛЬНОЙ НАПРАВЛЕННОСТИ, РЕШАЕМЫЕ ПРИ ПОМОЩИ ОСНОВНЫХ ТЕОРЕМ ТЕОРИИ ВЕРОЯТНОСТЕЙ В ВЫСШЕЙ ВОЕННОЙ ШКОЛЕ",Шахвердова Е.О.,2025,Да
82365641,РАЗВИТИЕ СИЛОВОЙ ВЫНОСЛИВОСТИ У ЮНОШЕЙ ДЛЯ ВЫПОЛНЕНИЯ УПРАЖНЕНИЯ В ПОДТЯГИВАНИИ НА ПЕРЕКЛАДИНЕ,"Ковальчук О.Г., Костикова Л.Г., Саплина А.Е.",2025,Да
80641497,ИНФОРМАТИЗАЦИЯ КАК ФАКТОР ПОВЫШЕНИЯ КОНКУРЕНТОСПОСОБНОСТИ ВОЕННО-ИНЖЕНЕРНОГО ОБРАЗОВАНИЯ,"Чеботарь И.Т., Мельник В.Н.",2025,Да
80641498,ПЕРСПЕКТИВЫ РАЗВИТИЯ ИНФОРМАТИЗАЦИИ В ВОЕННО-ИНЖЕНЕРНЫХ УЧЕБНЫХ ЗАВЕДЕНИЯХ,"Чеботарь И.Т., Мельник В.Н.",2025,Да
80560274,СТРАТЕГИИ ИНТЕГРАЦИИ САМБО В ОБРАЗОВАТЕЛЬНЫЙ ПРОЦЕСС ВУЗОВ СНГ,"Марьин А.А., Прокопьева К.А., Блаженнов В.М., Сорока А.В.",2025,Да
80641499,ОСОБЕННОСТИ ОРГАНИЗАЦИИ ЗАНЯТИЙ ПО ОГНЕВОЙ ПОДГОТОВКЕ С ЛАЗЕРНЫМ СТРЕЛКОВЫМ ТРЕНАЖЕРОМ «РУБИН»,"Горбач С.Д., Лобашев А.И.",2025,Да
80641500,ТЕХНОПАРК - НОВАЯ НАУЧНО-ОБРАЗОВАТЕЛЬНАЯ СРЕДАВ ВОЕННОЙ АКАДЕМИИ СВЯЗИ,"Владимиров И.А., Лещинский Б.С., Васильев Н.А., Погорецкий В.В.",2025,Да
80641501,ОРГАНИЗАЦИЯ ПОДГОТОВКИ СПЕЦИАЛИСТОВ С ИСПОЛЬЗОВАНИЕМ ТЕХНОЛОГИИ «РЕВЕРСИВНОГО» ОБУЧЕНИЯ В ВЫСШИХ ВОЕННЫХ УЧЕБНЫХ ЗАВЕДЕНИЯХ,"Обыденникова Ю.С., Цыпнятов В.Б.",2025,Да
80560277,АНАЛИЗ УРОВНЯ ФИЗИЧЕСКОЙ ПОДГОТОВЛЕННОСТИ СПОРТСМЕНОВ-САМБИСТОВ,"Труль А.Р., Гайкалов А.П., Стовбур А.П., Блаженнов В.М.",2025,Да
80641452,ПРИМЕНЕНИЕ СРЕДСТВ ВЫЧИСЛИТЕЛЬНОЙ ТЕХНИКИ В ПОДГОТОВКЕ СПЕЦИАЛИСТОВ СВЯЗИ,"Берест П.А., Воробьев Л.В., Малиновский И.И., Соболь Г.М.",2025,Да
82350648,СОВРЕМЕННЫЕ ПОДХОДЫ В ОБРАЗОВАТЕЛЬНОМ ПРОЦЕССЕ: ОСНОВНЫЕ ТЕНДЕНЦИИ,Салищева О.Г.,2025,Да
80560287,КОМПЛЕКСНЫЙ ПОДХОД К ПРОФИЛАКТИКЕ УТОМЛЕНИЯ В УСЛОВИЯХ ПРОФЕССИОНАЛЬНОЙ ДЕЯТЕЛЬНОСТИ ЛЕТЧИКОВ СТРАН СНГ,"Сорокин В.П., Федюк Н.С., Михаил И.И., Петрова П.С.",2025,Да
82427921,МОДИФИКАЦИЯ МЕТОДА САРРЮСА - ВЫЧИСЛЕНИЯ ОПРЕДЕЛИТЕЛЯ МАТРИЦЫ ТРЕТЬЕГО ПОРЯДКА,"Монахова Л.Ю., Рябоконь Е.А.",2025,Да
80560292,ЗНАЧЕНИЕ МОДЕЛИРУЕМОЙ ЛЕТНОЙ ДЕЯТЕЛЬНОСТИ ПРИ РЕАБИЛИТАЦИИ ЛЕТЧИКОВ СТРАН СНГ С ФУНКЦИОНАЛЬНЫМИ РАССТРОЙСТВАМИ,"Марьин А.А., Сорокин В.П., Стовбур А.П., Блаженнов В.М.",2025,Да
80538326,НАУЧНОЕ ТВОРЧЕСТВО В ВОЕННОЙ АКАДЕМИИ СВЯЗИ: ОТ ТЕОРИИ К ПРАКТИКЕ,"Карасик Н.Я., Колбасова Г.С., Гришковец О.В.",2025,Да
80538328,ВКЛАД ИССЛЕДОВАТЕЛЬСКОЙ ДЕЯТЕЛЬНОСТИ ВОЕННОЙ АКАДЕМИИ СВЯЗИ В РАЗВИТИЕ ВЫСШЕГО ОБРАЗОВАНИЯ,"Карасик Н.Я., Колбасова Г.С., Гришковец О.В.",2025,Да
80560293,СВЯЗЬ ПСИХОФИЗИОЛОГИЧЕСКИХ ХАРАКТЕРИСТИК С ПОКАЗАТЕЛЯМИ ДЕЯТЕЛЬНОСТИ ОПЕРАТОРОВ АВТОМАТИЗИРОВАННЫХ СИСТЕМ УПРАВЛЕНИЯ СТРАН СНГ,"Михаил И.И., Федюк Н.С., Марьин А.А., Сытник Г.В.",2025,Да
80641453,ИСПОЛЬЗОВАНИЕ RAG СИСТЕМ В ИНЖЕНЕРНОМ ОБРАЗОВАНИИ,"Магера М.А., Хомутовский С.Л., Григоренко А.Г., Измайлов Н.С.",2025,Да
80564204,МАТЕМАТИЧЕСКИЕ МЕТОДЫ В РАЗВЕДЫВАТЕЛЬНЫХ ОПЕРАЦИЯХ,"Кошкина Н.В., Филиппов А.В.",2025,Да
80564205,НЕКОТОРЫЕ АСПЕКТЫ РЕАЛИЗАЦИИ ПРИКЛАДНОЙ НАПРАВЛЕННОСТИ ОБУЧЕНИЯ ВЫСШЕЙ МАТЕМАТИКЕ В ВОЕННОМ ВУЗЕ,"Кошкина Н.В., Ушакова В.А., Ушаков М.А.",2025,Да
80565703,"АКТУАЛЬНОСТЬ СОЦИАЛЬНОЙ АДАПТАЦИИ И РЕСОЦИАЛИЗАЦИИ УЧАСТНИКОВ БОЕВЫХ ДЕЙСТВИЙ, ВЕРНУВШИХСЯ ИЗ ЗОНЫ СПЕЦИАЛЬНОЙ ВОЕННОЙ ОПЕРАЦИИ, ПО СРЕДСТВАМ ЗАНЯТИЙ ФИЗИЧЕСКИМИ УПРАЖНЕНИЯМИ","Заплетин А.Г., Юров А.С., Блаженное В.М., Гайкалов А.П.",2025,Да
80560329,ЦИФРОВИЗАЦИЯ И ИННОВАЦИИ В ФИЗИЧЕСКОМ ВОСПИТАНИИ И СТУДЕНЧЕСКОМ СПОРТЕ: ТРАНСФОРМАЦИЯ ОБРАЗОВАТЕЛЬНОГО ЛАНДШАФТА В ВУЗАХ ГОСУДАРСТВ - УЧАСТНИКОВ СОДРУЖЕСТВА НЕЗАВИСИМЫХ ГОСУДАРСТВ,"Радин Д.В., Павлов А.Г., Бородин Д.В., Федюк Н.С.",2025,Да
80669030,ИССЛЕДОВАНИЕ ТЕОРИИ И МЕТОДИКИ СПОРТА,"Ефимов А.В., Тухто С.В., Павлов А.Г.",2025,Да
80560296,ФИДЖИТАЛ-СПОРТ В СТУДЕНЧЕСКОЙ СРЕДЕ: ПЕРСПЕКТИВЫ РАЗВИТИЯ И ИНТЕГРАЦИИ В ОБРАЗОВАТЕЛЬНЫЙ ПРОЦЕСС,"Труль А.Р., Сытник Г.В., Стовбур А.П., Блаженнов В.М.",2025,Да
80645388,А. В. СУВОРОВ И ИНОСТРАННЫЕ ЯЗЫКИ,"Бомбина М.Ю., Шестов А.В.",2025,Да
80641448,МАТЕМАТИКА КАК ОСНОВА ИНЖЕНЕРНОГО МЫШЛЕНИЯ: КЛЮЧЕВЫЕ АСПЕКТЫ,"Андреева Л.А., Монахова Л.Ю., Рябоконь Е.А.",2025,Да
80538345,БОРЬБА ЗА СЕКРЕТНОСТЬ: ШИФРОВАЛЬНАЯ МАШИНА «ЭНИГМА»,"Чернов Д.Е., Шемякина И.Е., Макий В.С.",2025,Да
80572684,ОСОБЕННОСТИ ИСПОЛЬЗОВАНИЯ МЕЖДИСЦИПЛИНАРНЫХ СВЯЗЕЙ ИНЖЕНЕРНОЙ И КОМПЬЮТЕРНОЙ ГРАФИКИ В УЧЕБНОМ ПРОЦЕССЕ ВОЕННОГО ВУЗА,Симак Н.Ю.,2025,Да
80641454,ИНФОРМАТИЗАЦИЯ В ИНЖЕНЕРНОМ ОБРАЗОВАНИИ: КЛЮЧ К УСПЕШНОМУ БУДУЩЕМУ,Григорьев А.А.,2025,Да
